月份,同比增长,累计增长,发布时间,fetched_at,indicator
2026年03月份,5.7,6.1,2026-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2026年02月份,,6.3,2026-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年12月份,5.2,5.9,2025-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年11月份,4.8,6.0,2025-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年10月份,4.9,6.1,2025-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年09月份,6.5,6.2,2025-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年08月份,5.2,6.2,2025-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年07月份,5.7,6.3,2025-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年06月份,6.8,6.4,2025-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年05月份,5.8,6.3,2025-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年04月份,6.1,6.4,2025-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年03月份,7.7,6.5,2025-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2025年02月份,,5.9,2025-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年12月份,6.2,5.8,2024-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年11月份,5.4,5.8,2024-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年10月份,5.3,5.8,2024-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年09月份,5.4,5.8,2024-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年08月份,4.5,5.8,2024-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年07月份,5.1,5.9,2024-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年06月份,5.3,6.0,2024-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年05月份,5.6,6.2,2024-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年04月份,6.7,6.3,2024-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年03月份,4.5,6.1,2024-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2024年02月份,,7.0,2024-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年12月份,6.8,4.6,2023-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年11月份,6.6,4.3,2023-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年10月份,4.6,4.1,2023-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年09月份,4.5,4.0,2023-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年08月份,4.5,3.9,2023-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年07月份,3.7,3.8,2023-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年06月份,4.4,3.8,2023-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年05月份,3.5,3.6,2023-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年04月份,5.6,3.6,2023-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年03月份,3.9,3.0,2023-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2023年02月份,,2.4,2023-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年12月份,1.3,3.6,2022-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年11月份,2.2,3.8,2022-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年10月份,5.0,4.0,2022-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年09月份,6.3,3.9,2022-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年08月份,4.2,3.6,2022-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年07月份,3.8,3.5,2022-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年06月份,3.9,3.4,2022-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年05月份,0.7,3.3,2022-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年04月份,-2.9,4.0,2022-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年03月份,5.0,6.5,2022-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2022年02月份,,7.5,2022-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年12月份,4.3,9.6,2021-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年11月份,3.8,10.1,2021-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年10月份,3.5,10.9,2021-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年09月份,3.1,11.8,2021-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年08月份,5.3,13.1,2021-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年07月份,6.4,14.4,2021-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年06月份,8.3,15.9,2021-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年05月份,8.8,17.8,2021-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年04月份,9.8,20.3,2021-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年03月份,14.1,24.5,2021-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2021年02月份,,35.1,2021-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年12月份,7.3,2.8,2020-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年11月份,7.0,2.3,2020-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年10月份,6.9,1.8,2020-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年09月份,6.9,1.2,2020-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年08月份,5.6,0.4,2020-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年07月份,4.8,-0.4,2020-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年06月份,4.8,-1.3,2020-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年05月份,4.4,-2.8,2020-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年04月份,3.9,-4.9,2020-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年03月份,-1.1,-8.4,2020-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2020年02月份,,-13.5,2020-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年12月份,6.9,5.7,2019-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年11月份,6.2,5.6,2019-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年10月份,4.7,5.6,2019-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年09月份,5.8,5.6,2019-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年08月份,4.4,5.6,2019-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年07月份,4.8,5.8,2019-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年06月份,6.3,6.0,2019-06-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年05月份,5.0,6.0,2019-05-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年04月份,5.4,6.2,2019-04-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年03月份,8.5,6.5,2019-03-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2019年02月份,,5.3,2019-02-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年12月份,5.7,6.2,2018-12-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年11月份,5.4,6.3,2018-11-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年10月份,5.9,6.4,2018-10-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年09月份,5.8,6.4,2018-09-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年08月份,6.1,6.5,2018-08-01,2026-04-21T11:32:55.411314+00:00,gyzjz
2018年07月份,6.0,6.6,2018-07-01,2026-04-21T11:32:55.411314+00:00,gyzjz
