商品,date,今值,预测值,前值,fetched_at,indicator
中国官方非制造业PMI报告,2007-02-01,60.4,,,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-03-01,60.6,,60.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-04-01,58.2,,60.6,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-05-01,60.4,,58.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-06-01,62.2,,60.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-07-01,60.0,,62.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-08-01,59.4,,60.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-09-01,61.7,,59.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-10-01,61.9,,61.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-11-01,61.4,,61.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2007-12-01,60.6,,61.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-01-01,60.2,,60.6,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-02-01,60.2,,60.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-03-01,59.3,,60.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-04-01,58.9,,59.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-05-01,58.4,,58.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-06-01,57.4,,58.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-07-01,57.4,,57.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-08-01,55.7,,57.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-09-01,52.9,,55.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-10-01,55.0,,52.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-11-01,53.1,,55.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2008-12-01,51.2,,53.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-01-01,50.8,,51.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-02-01,53.7,,50.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-03-01,55.1,,53.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-04-01,54.4,,55.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-05-01,53.5,,54.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-06-01,54.9,,53.5,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-07-01,55.4,,54.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-08-01,57.3,,55.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-09-01,57.3,,57.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-10-01,57.9,,57.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-11-01,59.5,,57.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2009-12-01,58.4,,59.5,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-01-01,58.8,,58.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-02-01,58.1,,58.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-03-01,57.0,,58.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-04-01,57.3,,57.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-05-01,57.8,,57.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-06-01,58.1,,57.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-07-01,58.8,,58.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-08-01,57.1,,58.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-09-01,58.0,,57.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-10-01,57.9,,58.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-11-01,57.4,,57.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2010-12-01,58.9,,57.4,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-01-01,58.8,,58.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-02-01,57.2,,58.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-03-01,57.0,,57.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-04-01,59.2,,57.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-05-01,58.2,,59.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-06-01,58.7,,58.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-07-01,56.6,,58.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-08-01,57.3,,56.6,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-09-01,57.1,,57.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-10-01,55.8,,57.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-11-01,55.5,,55.8,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2011-12-01,55.9,,55.5,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-01-01,56.3,,55.9,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-02-01,55.7,,56.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-03-01,57.3,,55.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-04-01,58.0,,57.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-05-01,56.1,,58.0,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-06-01,55.2,,56.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-07-01,56.7,,55.2,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-08-03,55.6,,56.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-09-03,56.3,,55.6,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-10-03,53.7,,56.3,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-11-03,55.5,,53.7,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2012-12-03,55.6,,55.5,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2013-01-03,56.1,,55.6,2026-04-21T11:32:53.356704+00:00,pmi_nm
中国官方非制造业PMI报告,2013-02-03,56.2,,56.1,2026-04-21T11:32:53.356704+00:00,pmi_nm
