date,美元指数,美元人民币
2026-01-29,117.4396,6.948
2026-01-30,117.8996,6.951
2026-02-02,118.3609,6.9463
2026-02-03,117.9764,6.9377
2026-02-04,118.2602,6.9415
2026-02-05,118.5034,6.9378
2026-02-06,118.2407,6.9388
2026-02-09,117.6392,6.92
2026-02-10,117.5216,6.9106
2026-02-11,117.4601,6.9125
2026-02-12,117.5376,6.901
2026-02-13,117.5258,6.908
2026-02-16,,
2026-02-17,117.7375,6.9031
2026-02-18,117.8426,6.9031
2026-02-19,118.2354,6.9031
2026-02-20,117.9917,6.9031
2026-02-23,117.9395,6.9031
2026-02-24,117.9463,6.883
2026-02-25,117.769,6.8692
2026-02-26,117.9042,6.8409
2026-02-27,117.8223,6.8579
2026-03-02,118.667,6.8821
2026-03-03,119.4341,6.8996
2026-03-04,119.0705,6.8969
2026-03-05,119.5683,6.8912
2026-03-06,119.491,6.8965
2026-03-09,119.5151,6.9066
2026-03-10,118.7255,6.8766
2026-03-11,119.2885,6.8655
2026-03-12,119.8227,6.8689
2026-03-13,120.5518,6.8961
2026-03-16,120.097,6.8955
2026-03-17,119.8328,6.8863
2026-03-18,119.9276,6.8726
2026-03-19,120.1802,6.8998
2026-03-20,120.2757,6.8857
2026-03-23,119.9371,6.8807
2026-03-24,120.1295,6.8918
2026-03-25,120.1282,6.9011
2026-03-26,120.389,6.9107
2026-03-27,120.8851,6.9116
2026-03-30,121.2851,6.9119
2026-03-31,121.035,6.898
2026-04-01,120.1198,6.872
2026-04-02,120.503,6.8856
2026-04-03,120.6565,6.8824
2026-04-06,120.4302,6.8778
2026-04-07,120.32,6.8567
2026-04-08,119.0596,6.8287
2026-04-09,118.8998,6.8314
2026-04-10,118.8552,6.8278
2026-04-13,98.37000274658203,
2026-04-14,98.12000274658203,
2026-04-15,98.05999755859375,
2026-04-16,98.22000122070312,
2026-04-17,98.0999984741211,
2026-04-20,98.05000305175781,
2026-04-21,98.41000366210938,
2026-04-22,98.58999633789062,
2026-04-23,98.80000305175781,
2026-04-24,98.51000213623047,
2026-04-27,98.4800033569336,
2026-04-28,98.62000274658203,
2026-04-29,98.91999816894531,
2026-04-30,98.08000183105469,
2026-05-01,98.20999908447266,
2026-05-04,98.47000122070312,
2026-05-05,98.4800033569336,
2026-05-06,98.0199966430664,
2026-05-07,98.25,
2026-05-08,97.83999633789062,
2026-05-11,97.94000244140625,
2026-05-12,98.2969970703125,
