date,北向净流入,北向涨幅,南向净流入,南向涨幅
2025-10-30,-661.66841344,-2.73,-442.13293056,-1.83
2025-10-31,-427.5357696,-1.84,-260.76332032,-1.13
2025-11-03,-99.08518912,-0.47,-171.7655552,-0.82
2025-11-04,-576.22986752,-3.01,-320.2392064,-1.67
2025-11-05,-19.03689728,-0.1,-107.23934208,-0.57
2025-11-06,123.80946432,0.6,-112.1642496,-0.55
2025-11-07,-221.83739392,-1.11,-249.78006016,-1.25
2025-11-10,-182.81418752,-0.84,-188.18162688,-0.87
2025-11-11,-400.65527808,-2.01,-243.21347584,-1.22
2025-11-12,-348.31020032,-1.79,-323.57556224,-1.66
2025-11-13,253.3148672,1.24,-43.37373184,-0.21
2025-11-14,-569.66692864,-2.91,-310.2445568,-1.58
2025-11-17,-185.17118976,-0.97,-211.23227648,-1.11
2025-11-18,-567.06174976,-2.94,-426.86509056,-2.22
2025-11-19,-258.97050112,-1.5,-254.10330624,-1.47
2025-11-20,-280.84895744,-1.64,-311.59545856,-1.82
2025-11-21,-844.08979456,-4.29,-630.21940736,-3.21
2025-11-24,-33.76979968,-0.2,-120.92002304,-0.7
2025-11-25,131.93752576,0.73,-19.76610816,-0.11
2025-11-26,-11.56452352,-0.06,-205.91648768,-1.15
2025-11-27,-127.2467456,-0.74,-146.20925952,-0.86
2025-11-28,103.97130752,0.66,-24.09385984,-0.15
2025-12-01,45.02290432,0.24,-76.2769408,-0.41
2025-12-02,-319.84820224,-2.01,-206.66535936,-1.3
2025-12-03,-333.11637504,-1.99,-353.84262656,-2.12
2025-12-04,-111.64086272,-0.72,-209.93388544,-1.36
2025-12-05,150.14834176,0.87,-26.97895936,-0.16
2025-12-08,98.57163264,0.48,-105.23910144,-0.52
2025-12-09,-308.35474432,-1.62,-309.55290624,-1.63
2025-12-10,-149.95288064,-0.84,-185.7263616,-1.04
2025-12-11,-510.11055616,-2.75,-347.63595776,-1.87
2025-12-12,-45.60740352,-0.22,-40.895488,-0.2
2025-12-15,-290.8645376,-1.64,-265.62756608,-1.5
2025-12-16,-455.1335936,-2.64,-373.636096,-2.17
2025-12-17,138.54547968,0.76,-113.3576192,-0.63
2025-12-18,-172.3805696,-1.04,-234.49751552,-1.42
2025-12-19,105.73492224,0.61,-91.64804096,-0.53
2025-12-22,135.9788032,0.73,-127.20689152,-0.68
2025-12-23,-264.41977856,-1.39,-284.10875904,-1.5
2025-12-24,167.35571968,0.89,-114.00122368,-0.61
2025-12-25,-56.65488896,-0.29,-178.93515264,-0.93
2025-12-26,-77.0742272,-0.36,-288.36995072,-1.33
2025-12-29,-331.07693568,-1.55,-387.20049152,-1.81
2025-12-30,-173.13783808,-0.81,-214.58386944,-1.0
2025-12-31,-119.03471616,-0.58,-278.47340032,-1.36
2026-01-05,179.04152576,0.7,-138.26166784,-0.54
2026-01-06,114.1252096,0.41,-202.4900608,-0.72
2026-01-07,-289.51465984,-1.01,-343.72374528,-1.2
2026-01-08,-217.4302208,-0.78,-318.9704704,-1.14
2026-01-09,-22.9873664,-0.07,-323.29109504,-1.04
2026-01-12,10.38647296,0.03,-357.37075712,-0.99
2026-01-13,-1048.29435904,-2.87,-757.27007744,-2.07
2026-01-14,-352.791552,-0.9,-536.60995584,-1.36
2026-01-15,-356.3558912,-1.23,-342.26352128,-1.18
2026-01-16,-284.36267008,-0.94,-201.65357568,-0.67
2026-01-19,-197.28478208,-0.73,-226.83103232,-0.84
2026-01-20,-674.89779712,-2.43,-393.53278464,-1.42
2026-01-21,233.47417088,0.9,-177.11284224,-0.68
2026-01-22,-109.67105536,-0.41,-166.94788096,-0.62
2026-01-23,-13.8051584,-0.04,-211.18783488,-0.68
2026-01-26,-764.09135104,-2.35,-452.16899072,-1.39
2026-01-27,-232.63358976,-0.8,-326.73124352,-1.13
2026-01-28,-184.92960768,-0.62,-251.0505984,-0.85
2026-01-29,-502.01997312,-1.55,-402.54570496,-1.25
2026-01-30,-509.031424,-1.8,-439.64792832,-1.55
2026-02-02,-693.99855104,-2.68,-325.98470656,-1.26
2026-02-03,164.4046336,0.65,-20.4017664,-0.08
2026-02-04,-347.86619392,-1.4,-297.15410944,-1.2
